Method	Short.Name	Marker	PCR.Efficiency	Stutter.Probability	Stutter.Max.Size	Stutter.Type.Repeat	Stutter.Type.Bp	Stutter.Intercept	Stutter.Slope	Stutter.Sigma	T.Intercept	T.Slope	T.Sigma	Scaling.Intercept	Scaling.Slope	Scaling.Sigma
Tutorial1	SGMPlus	AMEL	0.939	0	0	-1	0				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D8S1179	0.955	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D21S11	0.946	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D18S51	0.931	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	D19S433	0.926	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	TH01	0.91	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial1	SGMPlus	FGA	0.899	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-16.9616	1.1711	0.1696
Tutorial2	SGMPlus	D3S1358	0.945	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	vWA	0.959	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D16S539	0.965	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D2S1338	0.931	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	AMEL	0.939	0	0	-1	0				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D8S1179	0.955	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D21S11	0.946	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D18S51	0.931	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	D19S433	0.926	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	TH01	0.91	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
Tutorial2	SGMPlus	FGA	0.899	0.005	Inf	-1	-4				14.5504	0.8427	0.1438	-14.96069	1.1711	0.1696
